23,JAINTM MGCP API Specification,This work will specify the JAINTM API through which access to protocol stacks that support the Media Gateway Control Protocol (RFC 2705) may be achieved.,Final,,Final Release,2001/10/8,,,Christer Boberg Ericsson AB,,
24,JAINTM SPA TSM SD and SAM 1.0 API,This allows software developers to rapidly develop external Service Provider-type applications to securely access discover and agree other APIs which use abstract primitives that hide the heterogeneity of underlying networks.,Final,,Final Release,2002/10/8,,,Anders Lundqvist Incomit AB,,
25,JAINTM Connectivity Management Specification,The JSR is to define the Java APIs for a Connectivity Management API specification.,Withdrawn,Withdrawn at the request of the submitter.,Withdrawn,,,2000/11/21,Rob Goedman Sun Microsystems Inc.,,
26,UML/EJB Mapping Specification,This document describes a standard mapping between the Enterprise JavaBeansTM architecture and the Unified Modeling Language.,Withdrawn,Withdrawn due to lack of interest after the original Spec Lead company was acquired. New Spec Lead company has failed to find a Spec Lead who wants to drive JSR-26 to completion. Expert Group was informed of intent to withdraw JSR-26 and it supported that action.,Withdrawn,,,2004/3/29,Andy Dean IBM,,
27,JavaTM Cryptography Extension 1.3,This Specification would have enhanced the JavaTM Cryptography Extension 1.2 and made it exportable.,Withdrawn,Withdrawn before work began because the proposal describes a cryptographic system and/or a cryptographic framework whose implementation would be subject to U.S. Export Licensing requirements.,Withdrawn,,,1999/11/5,Sharon Liu Sun Microsystems Inc.,Jan Luehe Sun Microsystems Inc.,
28,Java SASL Specification,This specification defines a SASL client and server API in the JavaTM programming language.,Final,,Final Release 2,2003/12/23,,,Rosanna Lee Sun Microsystems Inc.,,
29,JAINTM MAP Specification,The JAINTM MAP API Specification includes functionality for messaging and location service. The API may be implemented on different protocols e.g. ETSI MAP and ANSI 41.,Withdrawn,Withdrawn due to Spec Lead's move to another company and the lack of interest from the rest of the Expert Group in driving the spec to Final Release. At the time it was withdrawn there had been no activity in the JSR since September 2001.,Withdrawn,,,2003/5/30,S?ren Torstensson Ericsson Inc.,,
30,J2METM Connected Limited Device Configuration,This specification will define a standard platform configuration of the JavaTM 2 platform Micro Edition (J2METM) for small resource-limited connected devices.,Final,,Final Release,2000/5/30,,,Antero Taivalsaari Sun Microsystems Inc.,,
31,XML Data Binding Specification,A facility for compiling an XML schema into one or more JavaTM classes which can parse generate and validate documents that follow the schema.,Final,,Final Release,2003/3/4,,,Joe Fialli Oracle,Sekhar Vajjhala Sun Microsystems Inc.,
32,JAINTM SIP API Specification,The JAINTM SIP API specification provides a standard portable interface to share information between SIP Clients and SIP Servers providing call control elements enabling converged-network applications.,Maintenance,,Maintenance Release,2006/11/29,,,Phelim O'Doherty Oracle,Mudumbai Ranganathan NIST,
33,InfoBus 2.0 Specification,The InfoBus 2.0 Specification and release would have added features to the existing InfoBus 1.2 Specification that capitalize on new features found in the J2SETM Platform.,Withdrawn,Withdrawn at the request of the submitter. InfoBus 2.0 is no longer under development in the Java Community Process. Please direct comments or questions about InfoBus to infobus-comments@java.sun.com. For information on InfoBus 1.2 see http://java.sun.com/beans/infobus.,Withdrawn,,,1999/11/8,Mark Colan Lotus Development Corporation,,
34,JavaTM Advanced Imaging API 1.1,Revision of the JavaTM Advanced Imaging API specification to version 1.1. Java Advanced Imaging supports sophisticated image processing in Java 2.,Final,,Final Release,2002/3/11,,,John Zimmerman Sun Microsystems Inc.,,
35,JAINTM INAP API Specification,This JSR is to develop the JAINTM (Java APIs for Integrated Networks) INAP (Intelligent Network Application Protocol) specification for Intelligent Network Applications in the Telecommunications Industry.,Final,,Final Release,2002/3/5,,,Shankar Allimatti Mahindra British Telecom Ltd.,,
36,Connected Device Configuration,The Connected Device Configuration (CDC) provides the basis of the JavaTM 2 platform Micro Edition for devices that have a sufficient 32-bit microprocessor and ample memory.,Maintenance,,Maintenance Release,2005/12/20,,,Jon Courtney Sun Microsystems Inc.,,
37,Mobile Information Device Profile for the J2METM Platform,"This specification will define a profile that will extend and enhance the ""J2METM Connected Limited Device Configuration"" (JSR-000030) enabling application development for mobile information appliances and voice communication devices.",Final,,Final Release,2000/9/19,,,Brian Deuser Motorola,,
38,Application Installation API Specification,This proposal is to develop a set of Java APIs that will enable cross-platform installation and de-installation of JavaTM applications as well as platform-specific applications.,Maintenance,,Maintenance Draft Review,2003/1/15,2003/2/18,,Paul Lovvik Sun Microsystems Inc.,,
39,JavaTM Servlet and JSP Performance Benchmark,The specification will provide a comprehensive benchmark suite for JavaTM Servlets and JSPTM pages that exercises the key areas that impact performance of these in real life applications.,Withdrawn,Withdrawn at the request of the submitter.,Withdrawn,,,2001/10/2,Ruslan Belkin America Online (AOL),,
40,The JavaTM Metadata Interface (JMI) Specification,The Java Metadata Interface specification will address the need for a pure Java metadata framework API that supports the creation storage retrieval and interchange of metadata.,Final,,Final Release,2002/6/28,,,Ravi Dirckze Unisys,,
41,A Simple Assertion Facility,A new keyword allowing programmers to include assertions describing intended program behavior which can be checked as programs execute to detect bugs.,Final,,Final Release,2002/5/9,,,Joshua Bloch Sun Microsystems Inc.,,
42,Travel Industry Reservation Booking Foundation API Specification,This intended to ease the building of applications for reservation booking in the travel industry that would cross all aspects of travel (air car hotel cruise and other travel activities).,Withdrawn,Withdrawn at the request of the submitter. Community support was not sufficient to form an expert group.,Withdrawn,,,2000/6/13,Sherry Shavor IBM,,
43,JTAPI 1.4 Specification,JTAPI 1.4 extends and enhances the current Java Telephony specification.,Final,,Final Release,2002/7/29,,,Jeff Peck Enterprise Computer Telephony Forum (ECTF),Richard J. Pennenga Enterprise Computer Telephony Forum (ECTF),
44,Braille API Specification,This API for Braille lines would have eased use of these devices and allowed faster introduction of new Braille lines in the JavaTM market by writing a driver for Braille.,Withdrawn,Withdrawn at the request of the submitter. Community support was not sufficient to support an Expert Group.,Withdrawn,,,2000/11/21,Ramon Cabello O.N.C.E.,,
45,Debugging Support for Other Languages,This specification establishes standardized tools for correlating JavaTM virtual machine byte code to source code of languages other than the JavaTM programming language.,Final,,Final Release,2003/11/24,,,Robert Field Oracle,,
46,Foundation Profile,The Foundation Profile is a set of APIs meant for applications running on small devices that have some type of network connection.,Maintenance,,Maintenance Release,2005/12/20,,,Jon Courtney Sun Microsystems Inc.,,
47,Logging API Specification,Define standard logging APIs for the error and trace logging.,Final,,Final Release,2002/5/9,,,Danny Coward Oracle,,
48,WBEM Services Specification,JavaTM WBEM Services is a set of APIs and reference implementation for WBEM. WBEM is an initiative from the DMTF that unifies systems management and instrumentation.,Final,,Final Release,2014/7/1,,,Carl Chan WBEM Solutions Inc,Jim Davis WBEM Solutions Inc,
49,Web Based Industrial Monitoring Framework,This JSR is to develop a web based monitoring and data acquisition framework for a industrial automation application. The APIs provides cross vendor inter-bean communication means.,Withdrawn,Withdrawn as Spec Lead left the JCP and no other Expert Group member was willing to take over as Spec Lead.,Withdrawn,,,2010/2/18,Hiroaki Hashimukai Yamatake Corporation,,
50,Distributed Real-Time Specification,The Distributed Real-Time Specification for Java extends RMI in the Real-Time Specification for Java to provide support for predictability of end-to-end timeliness of trans-node activities.,Dormant,The Specification Lead has chosen to list this JSR as dormant while work on the Community Review draft continues.,Expert Group Formation,2000/4/12,2000/8/14,,James J. Hunt aicas GmbH,,
51,New I/O APIs for the JavaTM Platform,APIs for scalable I/O fast buffered binary and character I/O regular expressions charset conversion and an improved filesystem interface.,Final,,Final Release,2002/5/9,,,Mark Reinhold Sun Microsystems Inc.,,
52,A Standard Tag Library for JavaServer PagesTM,A standard tag library for JSPTM pages.,Maintenance,,Maintenance Draft Review 3,2006/10/4,2006/11/6,,Jan Luehe Sun Microsystems Inc.,Eduardo Pelegri-Llopart Sun Microsystems Inc.,
53,JavaTM Servlet 2.3 and JavaServer PagesTM 1.2 Specifications,The next versions of the JavaTM Servlet and JavaServer PagesTM (JSP) specifications.,Maintenance,,Maintenance Draft Review 2,2002/5/24,2002/6/24,,Eduardo Pelegri-Llopart Sun Microsystems Inc.,,
54,JDBCTM 3.0 Specification,The proposed specification will update the JDBCTM specification to reflect changes in the SQL specification and JavaTM platform.,Final,,Final Release,2002/5/9,,,Lance Andersen Oracle,,
55,Certification Path API,"The Certification Path API provides a set of provider-based APIs for creating building and verifying certification paths (also known as ""certificate chains"").",Final,,Final Release,2002/5/9,,,Sean Mullan Sun Microsystems Inc.,,
56,Java Network Launching Protocol and API,A specification of protocols and APIs that will enable JavaTM applications to be deployed on the Web.,Maintenance,,Maintenance Draft Review 8,2015/9/25,2015/10/24,,Andy Herrick Oracle,,
57,Long-Term Persistence for JavaBeansTM Specification,JSR 57 provides streams to convert graphs of JavaBeansTM architecture to and from version resilient file formats (typically XML documents).,Final,,Final Release,2002/5/9,,,Mark Davidson Sun Microsystems Inc.,,
58,JavaTM 2 Platform Enterprise Edition 1.3 Specification,Defines the JavaTM 2 Platform Enterprise Edition version 1.3.,Final,,Final Release,2001/9/24,,,Bill Shannon Sun Microsystems Inc.,,
59,J2SETM Merlin Release Contents,"Define the major features of the J2SETM ""Merlin"" release (J2SE 1.4).",Maintenance,,Maintenance Draft Review 5,2004/8/17,2004/9/20,,Danny Coward Oracle,,
60,Building Automation Java API,The goal is to develop a set of Java APIs for programmable controllers in the building automation industry.,Withdrawn,This JSR was originally proposed a long time ago but failed to attract a critical mass for an expert group. After a few conference calls the effort was abandoned.,Withdrawn,,,2016/4/5,Brian Frank Tridium Inc,,
61,Phonelets API Specification,Phonelets provide developers with a simple API to package deploy and run Computer Telephony Integration (CTI) applications in a resource and security controlled environment.,Withdrawn,Withdrawn at the request of the Spec Lead after 4 years with no Expert Group.,Withdrawn,,,2004/4/9,Marc Petit-Huguenin 8x8,,
62,Personal Profile Specification,The J2METM Personal Profile provides the J2ME environment for those devices with a need for a high degree of Internet connectivity and web fidelity.,Maintenance,,Maintenance Release,2006/3/24,,,Jon Courtney Sun Microsystems Inc.,,
63,JavaTM API for XML Processing 1.1,The proposed specification will define a set of implementation independent portable APIs supporting XML Processing.,Final,,Final Release 2,2002/9/10,,,Rajiv Mordani Oracle,,
64,Financial Services Party Component,This JSR is a proposal to define an Enterprise Java BeanTM (EJBTM) component interface for party information as required by the financial services domain.,Withdrawn,Withdrawn at the request of the submitter. XML party components for this functionality are being developed under the Customer Profile Exchange (CPex).,Withdrawn,,,2000/8/29,William Senn IBM,,
65,Concise Object-Array Literals,A minor extension to the JavaTM programming language that will support a concise notation for automatically-boxing object-array literals.,Withdrawn,Withdrawn at the request of the Spec Lead with the agreement of the Expert Group. The community requirements targeted in this JSR are now being addressed as part of autoboxing in JSR 201.,Withdrawn,,,2003/7/25,Gilad Bracha Sun Microsystems Inc.,,
66,RMI Optional Package Specification Version 1.0,The J2METM RMI Optional Package (RMI OP) provides JavaTM platform to Java platform remote method invocation for Java devices and interoperates with J2SETM RMI.,Final,,Final Release,2002/6/27,,,Mark Hodapp Sun Microsystems Inc.,,
67,JavaTM APIs for XML Messaging 1.0,JAXM provides an API for packaging and transporting business transactions using on-the-wire protocols being defined by ebXML.org Oasis W3C and IETF.,Active,,Maintenance Review Ballot,2017/4/11,2017/4/24,,Lukas Jungmann Oracle,,
68,J2METM Platform Specification,This specification will define the next major revision of the JavaTM 2 platform Micro Edition.,Withdrawn,Its original purpose to define the architecture for Java ME and additional processes for building blocks are not necessary. The Community Review draft contains useful working definitions of Configurations and Profiles and useful rules for subsetting and merging APIs.,Withdrawn,,,2011/3/22,Roger Riggs Oracle,,
69,Java OLAP Interface (JOLAP),JOLAP is a pure Java API for the J2EETM environment that supports the creation and maintenance of OLAP data and metadata in a vendor-independent manner.,Withdrawn,Withdrawn at the request of the Specification Lead.,Withdrawn,,,2012/4/16,John D. Poole Hyperion Solutions Corporation,,
70,IIOP Protocol Adapter for JMXTM Specification,This specification will establish an IIOP based adapter for the JMXTM specification to allow CORBA clients access JMX agents.,Withdrawn,Withdrawn following re-prioritization within the company IONA could no longer commit the resources necessary to complete the specification and build an RI and TCK. In addition IONA no longer sees a sufficient customer demand for access to JMX MBeans using CORBA clients so IONA formed the opinion that the specification did not address a common need in the marketplace and therefore was unnecessary.,Withdrawn,,,2003/10/23,Damian McGrath Progress Software,,
71,JMX-TMN Specification,JMX-TMN Specification is part of the second phase of the JavaTM Management Extensions (JMXTM) umbrella initiative. It specifies the interoperability between the Telecommunication Management Network (TMN) standards and JMX.,Withdrawn,Withdrawn at the request of the Specification Lead.,Withdrawn,,,2001/6/18,Aline Ellul Evidian,,
72,JavaTM GSS API,This defines a Generic Security Services API (GSS-API) in Java to provide a layer of abstraction over security mechanisms that perform authentication message integrity protection and message privacy protection.,Final,,Final Release,2002/5/9,,,Seema Malkani Sun Microsystems Inc.,,
73,Data Mining API,This JSR addresses the need for a data mining API aligned with existing evolving data mining standards efforts.,Maintenance,,Maintenance Release,2005/8/12,,,Mark F. Hornick Oracle,,
74,Public Key Cryptography Standards (PKCS) 1.0,This JSR is to define a standard set of APIs for a subset of the Public Key Cryptography Standards (PKCS#1 #5 #7 #8 #9 #10 and #12).,Withdrawn,Withdrawn as the main goals of this JSR have been achieved and delivered through J2SE and other JCP specifications.,Withdrawn,,,2003/1/14,Seema Malkani Sun Microsystems Inc.,,
75,PDA Optional Packages for the J2METM Platform,This JSR produces two separate optional packages for features commonly found on PDAs and other J2ME mobile devices: one for accessing PIM data and one for accessing file systems.,Final,,Final Release,2004/6/7,,,Tom Chavez PalmSource Inc.,Ken Walker IBM,
76,RMI Security for J2SETM,Define a high-level API for network security in JavaTM 2 Standard Edition RMI covering basic security mechanisms: authentication (including delegation) confidentiality and integrity.,Rejected,This JSR was not approved by the SE/EE Executive Committee in Draft Approval/Reconsideration Ballots.,Rejected,,,2001/2/21,Bob Scheifler Sun Microsystems Inc.,,
77,J2EETM Management,The JavaTM 2 Platform Enterprise Edition Management Specification will provide server vendors and tool vendors with a standard model for managing the J2EE Platform.,Maintenance,,Maintenance Release,2006/6/22,,,Hans Hrasna Oracle,,
78,RMI Custom Remote References,Provide a general framework in JavaTM 2 Standard Edition RMI for customizing remote invocation behavior.,Rejected,This JSR was not approved by the SE/EE Executive Committee in Draft Approval/Reconsideration Ballots.,Rejected,,,2001/2/21,Ann Wollrath Sun Microsystems Inc.,,
79,JAINTM MEGACO API Specification,This work will specify the JAINTM API through which access to protocol stacks that support the MEGACO/H.248 protocol may be achieved.,Final,,Final Release,2004/12/6,,,Vikas Bajaj Hughes Software Systems,,
80,JavaTM USB API,This specification provides a JavaTM API for communicating with devices attached via the Universal Serial Bus (USB). It allows Java applications to discover read write and manage USB devices.,Final,,Final Release,2005/6/8,,,Boyd Dimmock IBM,,
81,JAIN H323,H.323 defines a system for moving real-time bi-directional multimedia (video voice data fax etc.) across packet-based networks.,Withdrawn,Due to the general absence of interest in the Community the Specification Lead decided to withdraw the JSR from development.,Withdrawn,,,2002/2/5,Orit Levin RADvision,,
82,JavaTM APIs for Bluetooth,Bluetooth is an important emerging standard for wireless integration of small devices. The specification standardizes a set of Java APIs to allow Java-enabled devices to integrate into a Bluetooth environment.,Maintenance,,Maintenance Draft Review 4,2010/3/8,2010/4/12,,Jens Paetzold Oracle,,
83,Multiarray package,This JSR proposes a package implementing true rectangular multidimensional arrays for the JavaTM platform.,Withdrawn,JSR-83 has shown slow progress for several years and has not generated significant industry interest or participation. With no outlook for a timely completion of this JSR the Spec Lead decided to withdraw it.,Withdrawn,,,2005/9/6,Jose E. Moreira IBM,,
84,Floating Point Extensions,This JSR proposes extensions to the JavaTM Programming Language and Java Virtual Machine that support more efficient execution of floating point code.,Withdrawn,Due to the general absence of interest in the community the Specification lead withdrew the JSR.,Withdrawn,,,2002/3/1,Marc Snir IBM,,
85,Rules-based Authorization and Audit,Define an API for managing and accessing a rules-based authorization and audit trail service.,Rejected,This JSR was not approved by the SE/EE Executive Committee in the JSR Approval Ballot.,JSR Review Ballot Failed,2000/10/10,,,Hal Lockhart Entegrity Solutions,,
86,Enterprise Media Beans,Enterprise Media Beans provide a framework to integrate rich media data (i.e. audio video or image) into applications based on EJBTM Entity Beans within the J2EETM application development model.,Final,,Final Release,2004/5/28,,,Lou Raymundo Watchmark Corporation,,
87,JavaTM Agent Services,This specification defines a set of objects and service interfaces to support the deployment and operation of autonomous communicative agents.,Withdrawn,Withdrawn at the request of the Specification Lead.,Withdrawn,,,2011/1/25,Francis G. McCabe Fujitsu Limited,,
88,JavaTM EE Application Deployment,This specification provides a complete description of the APIs required by the J2EE platform to enable development of platform-independent deployment tools.,Maintenance,,Maintenance Release 2,2006/6/7,,,Gerald Ingalls Oracle,,
89,OSS Service Activation API,Provide an API that allows telecom management applications to be developed and integrated with Java-enabled Service Activation systems.,Final,,Final Release 2,2006/5/23,,,Andreas Ebbert-Karroum codecentric AG,,
90,OSS Quality of Service API,Provide an API that allows telecom management applications to be developed and integrated with Java-enabled Quality of Service systems.,Final,,Final Release,2002/11/26,,,Ashutosh Sharma Wipro Technologies,,
91,OSS Trouble Ticket API,The OSS Trouble Ticket API will provide interfaces for creating querying updating and deleting trouble tickets (trouble reports).,Maintenance,,Maintenance Release 2,2007/8/21,,,Roman Schlegel Frox Communication,,
92,Localizable Text,Localizable Text is the infrastructure necessary to translate language-neutral information (in an object) from anywhere in a distributed network.,Withdrawn,Both JSR-92 and JSR-150 address the issue of 'distributed internationalization' in the J2EE world. JSR-92 is somewhat client-centric in nature while JSR-150 attempts to provide a server-side solution. The progress of JSR-92 is rather slow and some of the issues raised in JSR-92 can be addressed more elegantly by the technology advocated in JSR-150. The existence of two separate JSRs for the same issue of distributed internationalization can generate unnecessary confusion. Hence we feel JSR-92 should be withdrawn from the JSR space altogether. We will incorporate relevant portions of JSR-92 in JSR-150.,Withdrawn,,,2005/2/8,Debasish Banerjee IBM,,
93,JavaTM API for XML Registries 1.0 (JAXR),JAXR provides an API for a set of distributed Registry Services that enables business-to-business integration between business enterprises using the protocols being defined by ebXML.org Oasis ISO 11179.,Final,,Final Release,2002/6/11,,,Paul Sterk Sun Microsystems Inc.,,
94,JavaTM Rule Engine API,This specification defines a Java runtime API for rule engines.,Final,,Final Release,2004/8/4,,,Daniel Selman ILOG,,
95,J2EETM Activity Service for Extended Transactions,The Activity Service supports flexible ways of composing an application using transactions and can enable the application to possess some or all ACID properties.,Final,,Final Release,2006/5/11,,,Ian Robinson IBM,,
96,JavaTM Daemons,The Java Daemon API supplies a small container framework for developing and deploying independently running services in order to fill the gap caused by different handling on existing native platforms.,Withdrawn,Following the failed Draft Approval Ballot the Spec Lead decided not to work on materials for a reconsideration ballot and withdrew the JSR from the Java Community Process.,Withdrawn,,,2002/3/15,Thomas Kopp Dialogika GMBH,,
97,JavaHelpTM 2.0 Specification,A major update to the JavaHelp 1.0 Specification including enhancements to merging multi-topic printing improved secondary window and popup usage JFC ToolTip HelpSet support HelpSet presentation controls and additional Navigators.,Final,,Final Release,2003/10/16,,,Roger Brinkley Oracle,,
98,JAINTM User Location and Status API,The JAIN User Location and Status 1.0 API is the Java specification of the Parlay Mobility 2.1 API.,Final,,Final Release,2002/2/28,,,Ulf Lange Siemens AG,,
99,Java Specification Participation Agreement,This is the major revision of the Java Specification Participation Agreement (JSPA).,Maintenance,,Maintenance Draft Review,2005/1/21,2005/3/28,,Jonathan Nimer Sun Microsystems Inc.,,
100,JAINTM Service Creation Environment,JAINTM SCE will support and simplify the creation of portable telecommunication services delivered primarily to the JAINTM Service Logic Execution Environment while not restricted to this class of Execution Environments.,Withdrawn,Withdrawn when the Spec Lead asked to withdraw and no one from the Expert Group was willing to become the new Spec Lead.,Withdrawn,,,2006/12/4,John-Luc Bakker Telcordia Technologies Inc.,,
101,JavaTM APIs for XML based RPC,Java APIs to support emerging industry XML based RPC standards.,Final,,Final Release 2,2003/10/28,,,Roberto Chinnici Oracle,,
102,JDOM 1.0,JDOM is a way to represent an XML document for easy and efficient reading manipulation and writing.,Withdrawn,Withdrawn at the request of the Specification Lead.,Withdrawn,,,2011/3/22,Jason Hunter Hunter Jason,,
103,JAINTM User Interaction API,This was intended to allow software developers to rapidly develop external Service Provider-type applications using abstract primitives that hide the heterogeneity of underlying networks.,Withdrawn,Withdrawn following decisions at the November 2002 JAIN meeting in Austin.,Withdrawn,,,2003/3/21,Judith Russell AePONA,,
104,XML Trust Service APIs,"This defines a standard set of APIs and a protocol for a ""Trust Service"" minimizing the complexity of applications using XML Signature.",Withdrawn,The Java world has moved on since 2001 and the need for this JSR has declined.,Withdrawn,,,2009/6/11,Anthony Nadalin IBM,,
105,XML Digital Signature APIs,This defines and incorporates a standard set of high-level implementation-independent APIs for XML digital signatures services. The XML Digital Signature specification is defined by the W3C.,Final,,Final Release,2005/6/24,,,Sean Mullan Sun Microsystems Inc.,Sean Mullan Oracle,
106,XML Digital Encryption APIs,This JSR is to define a standard set of APIs for XML digital encryption services. This proposal is to define and incorporate the high level implementation independent Java APIs.,Withdrawn,Withdrawn at the request of the Specification Lead.,Withdrawn,,,2010/5/4,Bruce Rich IBM,,
107,JCACHE - Java Temporary Caching API,Specifies API and semantics for temporary in memory caching of Java objects including object creation shared access spooling invalidation and consistency across JVM's.,Final,,Final Release,2014/3/18,,,Gregory Robert Luck Luck Gregory Robert,Brian Oliver Oracle,Cameron Purdy Oracle
108,Units Specification,The JavaTM units package supports programatic unit handling via an abstract Unit class run-time checking and conversion unit arithmetic unit parsing and formatting and a units database.,Withdrawn,Withdrawn after the Spec Lead left the JCP and none of the Expert Group took over as Spec Lead.,Withdrawn,,,2004/7/23,Steven Emmerson University Corporation for Atmospheric Research (UCAR),,
109,Implementing Enterprise Web Services,This specification defines the programming model and runtime architecture for implementing web services in Java.,Maintenance,,Maintenance Release 3,2013/6/7,,,Jitendra Kotamraju Oracle,,
110,JavaTM APIs for WSDL,JWSDL provides a standard set of Java APIs for representing manipulating reading and writing WSDL (Web Services Description Language) documents including an extension mechanism for WSDL extensibility.,Final,,Final Release 3,2006/9/22,,,Graham C Turrell IBM,,
111,JavaTM Services Framework,Provide a specification that clearly defines the lifecycle configuration and management of software application services. The specification will provide a standard mechanism for assembling service components into Java server applications.,Withdrawn,Withdrawn with the agreement of the Expert Group.,Withdrawn,,,2003/8/19,Berin Loritsch Loritsch Berin,,
112,J2EETM Connector Architecture 1.5,The J2EE(TM) Connector Architecture 1/5 extends the existing 1.0 specification with new features including asynchronous integration with enterprise information systems Java Message Service (JMS) provider pluggability.,Final,,Final Release,2003/11/24,,,Binod PG Sun Microsystems Inc.,,
